Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears
35,No,Travel_Frequently,664,Research & Development,Medical,Male,79,Research Scientist,1,Married,2194,5868,4,No,5
36,Yes,Travel_Rarely,318,Research & Development,Medical,Male,79,Research Scientist,3,Married,3388,21777,0,Yes,2
59,No,Travel_Frequently,1225,Sales,Life Sciences,Female,57,Sales Executive,3,Single,5473,24668,7,No,20
29,No,Travel_Rarely,1328,Research & Development,Life Sciences,Male,76,Research Scientist,2,Married,2703,4956,0,No,6
31,No,Travel_Rarely,1082,Research & Development,Medical,Male,87,Research Scientist,2,Single,2501,18775,1,No,1
32,No,Travel_Rarely,548,Research & Development,Life Sciences,Male,66,Research Scientist,2,Married,6220,7346,1,No,10
36,No,Travel_Rarely,132,Research & Development,Life Sciences,Female,55,Laboratory Technician,4,Married,3038,22002,3,No,5
31,No,Travel_Rarely,746,Research & Development,Life Sciences,Female,61,Manufacturing Director,4,Single,4424,20682,1,No,11
35,No,Travel_Rarely,776,Sales,Marketing,Male,32,Sales Executive,1,Single,4312,23016,0,No,16
45,No,Travel_Rarely,193,Research & Development,Other,Male,52,Research Director,1,Married,13245,15067,4,Yes,17
37,No,Travel_Rarely,397,Research & Development,Medical,Male,30,Research Director,3,Single,13664,25258,4,No,16
46,No,Travel_Rarely,945,Human Resources,Medical,Male,80,Human Resources,2,Divorced,5021,10425,8,Yes,16
30,No,Travel_Rarely,852,Research & Development,Life Sciences,Male,55,Laboratory Technician,4,Married,5126,15998,1,Yes,10
35,No,Travel_Rarely,1214,Research & Development,Medical,Male,30,Research Scientist,3,Single,2859,26278,1,No,6
55,No,Travel_Rarely,111,Sales,Life Sciences,Male,70,Sales Executive,4,Married,10239,18092,3,No,24
38,No,Non-Travel,573,Research & Development,Medical,Female,79,Research Scientist,4,Divorced,5329,15717,7,Yes,17
34,No,Travel_Rarely,1153,Research & Development,Medical,Male,94,Manufacturing Director,2,Married,4325,17736,1,No,5
56,No,Travel_Rarely,1400,Research & Development,Life Sciences,Male,49,Manufacturing Director,4,Single,7260,21698,4,No,37
23,No,Travel_Rarely,541,Sales,Technical Degree,Male,62,Sales Representative,1,Divorced,2322,9518,3,No,3
51,No,Travel_Rarely,432,Research & Development,Life Sciences,Male,96,Laboratory Technician,4,Married,2075,18725,3,No,10
30,No,Travel_Rarely,288,Research & Development,Life Sciences,Male,99,Healthcare Representative,4,Married,4152,15830,1,No,11
46,Yes,Travel_Rarely,669,Sales,Medical,Male,64,Sales Executive,4,Single,9619,13596,1,No,9
40,No,Travel_Frequently,530,Research & Development,Life Sciences,Male,78,Healthcare Representative,2,Married,13503,14115,1,No,22
51,No,Travel_Rarely,632,Sales,Marketing,Male,71,Sales Executive,4,Single,5441,8423,0,Yes,11
30,No,Travel_Rarely,1334,Sales,Medical,Female,63,Sales Executive,2,Divorced,5209,19760,1,Yes,11
46,No,Travel_Frequently,638,Research & Development,Medical,Male,40,Healthcare Representative,1,Married,10673,3142,2,Yes,21
32,No,Travel_Rarely,1093,Sales,Medical,Male,87,Sales Executive,3,Single,5010,24301,1,No,12
54,No,Travel_Rarely,1217,Research & Development,Technical Degree,Female,60,Research Director,3,Married,13549,24001,9,No,16
24,No,Travel_Rarely,1353,Sales,Other,Female,33,Sales Executive,3,Married,4999,17519,0,No,4
28,No,Non-Travel,120,Sales,Medical,Male,43,Sales Executive,3,Married,4221,8863,1,No,5
58,No,Travel_Rarely,682,Sales,Medical,Male,37,Sales Executive,3,Single,13872,24409,0,No,38
44,No,Non-Travel,489,Research & Development,Medical,Male,67,Laboratory Technician,2,Married,2042,25043,4,No,17
37,Yes,Travel_Rarely,807,Human Resources,Human Resources,Male,63,Human Resources,1,Divorced,2073,23648,4,Yes,7
32,No,Travel_Rarely,827,Research & Development,Life Sciences,Male,71,Research Scientist,1,Single,2956,15178,1,No,1
20,Yes,Travel_Frequently,871,Research & Development,Life Sciences,Female,66,Laboratory Technician,4,Single,2926,19783,1,Yes,1
34,No,Travel_Rarely,665,Research & Development,Other,Female,41,Research Scientist,3,Single,4809,12482,1,No,16
37,No,Non-Travel,1040,Research & Development,Life Sciences,Male,100,Healthcare Representative,4,Divorced,5163,15850,5,No,17
59,No,Non-Travel,1420,Human Resources,Human Resources,Female,32,Manager,4,Married,18844,21922,9,No,30
50,No,Travel_Frequently,1115,Research & Development,Life Sciences,Female,73,Research Director,2,Married,18172,9755,3,Yes,28
25,Yes,Travel_Rarely,240,Sales,Marketing,Male,46,Sales Executive,3,Single,5744,26959,1,Yes,6
25,No,Travel_Rarely,1280,Research & Development,Medical,Male,64,Research Scientist,4,Married,2889,26897,1,No,2
22,No,Travel_Rarely,534,Research & Development,Medical,Female,59,Laboratory Technician,4,Single,2871,23785,1,No,1
51,No,Travel_Frequently,1456,Research & Development,Medical,Female,30,Healthcare Representative,1,Single,7484,25796,3,No,23
34,Yes,Travel_Frequently,658,Research & Development,Life Sciences,Male,66,Laboratory Technician,3,Single,6074,22887,1,Yes,9
54,No,Non-Travel,142,Human Resources,Human Resources,Female,30,Manager,4,Single,17328,13871,2,Yes,23
24,No,Travel_Rarely,1127,Research & Development,Life Sciences,Male,52,Laboratory Technician,3,Married,2774,13257,0,No,6
34,No,Travel_Rarely,1031,Research & Development,Life Sciences,Female,45,Research Scientist,2,Divorced,4505,15000,6,No,12
37,No,Travel_Rarely,1189,Sales,Life Sciences,Male,87,Sales Executive,4,Single,7428,14506,2,No,12
34,No,Travel_Rarely,1354,Research & Development,Medical,Female,45,Manager,1,Single,11631,5615,2,No,14
36,No,Travel_Frequently,1467,Sales,Technical Degree,Female,92,Sales Executive,4,Married,9738,22952,0,No,10
36,No,Travel_Rarely,922,Research & Development,Life Sciences,Female,39,Laboratory Technician,4,Divorced,2835,2561,5,No,7
43,No,Travel_Frequently,394,Sales,Life Sciences,Male,92,Manager,4,Married,16959,19494,1,Yes,25
30,No,Travel_Frequently,1312,Research & Development,Life Sciences,Male,96,Research Scientist,3,Divorced,2613,22310,1,No,10
33,No,Non-Travel,750,Sales,Marketing,Male,95,Sales Executive,2,Married,6146,15480,0,No,8
56,Yes,Travel_Rarely,441,Research & Development,Life Sciences,Female,72,Research Scientist,2,Married,4963,4510,9,Yes,7
51,No,Travel_Rarely,684,Research & Development,Life Sciences,Male,51,Research Director,3,Single,19537,6462,7,No,23
31,Yes,Travel_Rarely,249,Sales,Life Sciences,Male,76,Sales Executive,3,Married,6172,20739,4,Yes,12
26,No,Travel_Rarely,841,Research & Development,Other,Female,46,Research Scientist,2,Married,2368,23300,1,No,5
58,Yes,Travel_Rarely,147,Research & Development,Medical,Female,94,Healthcare Representative,4,Married,10312,3465,1,No,40
19,Yes,Travel_Rarely,528,Sales,Marketing,Male,50,Sales Representative,3,Single,1675,26820,1,Yes,0
22,No,Travel_Rarely,594,Research & Development,Technical Degree,Male,100,Laboratory Technician,4,Married,2523,19299,0,No,3
49,No,Travel_Rarely,470,Research & Development,Medical,Female,96,Manufacturing Director,1,Married,6567,5549,1,No,16
43,No,Travel_Frequently,957,Research & Development,Medical,Female,72,Research Scientist,3,Single,4739,16090,4,No,18
50,No,Travel_Frequently,809,Sales,Marketing,Female,77,Sales Executive,4,Single,9208,6645,4,No,16
31,Yes,Travel_Rarely,542,Sales,Life Sciences,Female,71,Sales Executive,3,Married,4559,24788,3,Yes,4
41,No,Travel_Rarely,802,Sales,Life Sciences,Male,96,Sales Executive,3,Divorced,8189,21196,3,Yes,12
26,No,Travel_Rarely,1355,Human Resources,Life Sciences,Female,61,Human Resources,3,Married,2942,8916,1,No,8
36,No,Travel_Rarely,216,Research & Development,Medical,Male,84,Manufacturing Director,2,Divorced,4941,2819,6,No,7
51,Yes,Travel_Frequently,1150,Research & Development,Life Sciences,Male,53,Manufacturing Director,4,Single,10650,25150,2,No,18
39,No,Travel_Rarely,1329,Sales,Life Sciences,Female,47,Sales Executive,3,Married,5902,14590,4,No,17
25,No,Travel_Rarely,959,Sales,Life Sciences,Male,41,Sales Executive,3,Married,8639,24835,2,No,6
30,No,Travel_Rarely,1240,Human Resources,Human Resources,Male,48,Human Resources,4,Married,6347,13982,0,Yes,12
32,Yes,Travel_Rarely,1033,Research & Development,Medical,Female,41,Laboratory Technician,1,Single,4200,10224,7,No,10
45,No,Travel_Rarely,1316,Research & Development,Medical,Male,83,Research Scientist,4,Single,3452,9752,5,No,9
38,No,Travel_Rarely,364,Research & Development,Technical Degree,Female,32,Research Scientist,3,Single,4317,2302,3,Yes,19
30,No,Travel_Rarely,438,Research & Development,Life Sciences,Female,75,Research Scientist,3,Single,2632,23910,1,No,5
32,No,Travel_Frequently,689,Sales,Medical,Male,35,Sales Executive,4,Divorced,4668,22812,0,No,9
30,No,Travel_Rarely,201,Research & Development,Technical Degree,Female,84,Research Scientist,1,Divorced,3204,10415,5,No,8
30,No,Travel_Rarely,1427,Research & Development,Medical,Male,35,Laboratory Technician,4,Single,2720,11162,0,No,6
41,No,Travel_Frequently,857,Research & Development,Life Sciences,Male,91,Manager,1,Divorced,17181,12888,4,No,21
41,No,Travel_Rarely,933,Research & Development,Life Sciences,Male,94,Laboratory Technician,1,Married,2238,6961,2,No,7
19,No,Travel_Rarely,1181,Research & Development,Medical,Female,79,Laboratory Technician,2,Single,1483,16102,1,No,1
40,No,Travel_Frequently,1395,Research & Development,Medical,Female,54,Research Scientist,2,Divorced,5605,8504,1,No,20
35,No,Travel_Rarely,662,Sales,Marketing,Male,94,Sales Executive,2,Married,7295,11439,1,No,10
53,No,Travel_Rarely,1436,Sales,Marketing,Male,34,Sales Representative,3,Married,2306,16047,2,Yes,13
45,No,Travel_Rarely,194,Research & Development,Life Sciences,Male,60,Laboratory Technician,2,Divorced,2348,10901,8,No,20
32,No,Travel_Frequently,967,Sales,Marketing,Female,43,Sales Executive,4,Single,8998,15589,1,No,9
29,No,Non-Travel,1496,Research & Development,Technical Degree,Male,41,Manufacturing Director,3,Married,4319,26283,1,No,10
51,No,Travel_Rarely,1169,Research & Development,Medical,Male,34,Manufacturing Director,3,Married,6132,13983,2,No,10
58,No,Travel_Rarely,1145,Research & Development,Medical,Female,75,Research Scientist,2,Married,3346,11873,4,Yes,9
40,No,Travel_Rarely,630,Sales,Marketing,Male,67,Sales Executive,4,Married,10855,8552,7,No,15
34,No,Travel_Frequently,303,Sales,Marketing,Female,75,Sales Representative,3,Married,2231,11314,6,No,6
22,No,Travel_Rarely,1256,Research & Development,Medical,Male,80,Research Scientist,4,Married,2323,11992,1,No,2
27,No,Non-Travel,691,Research & Development,Medical,Male,57,Research Scientist,2,Divorced,2024,5970,6,No,6
28,No,Travel_Rarely,440,Research & Development,Medical,Male,42,Research Scientist,4,Married,2713,6672,1,No,5
57,No,Travel_Rarely,334,Research & Development,Life Sciences,Male,83,Healthcare Representative,4,Divorced,9439,23402,3,Yes,12
27,No,Non-Travel,1450,Research & Development,Medical,Male,79,Research Scientist,3,Divorced,2566,25326,1,Yes,1
50,No,Travel_Rarely,1452,Research & Development,Life Sciences,Female,53,Manager,2,Single,19926,17053,3,No,21
41,No,Travel_Rarely,465,Research & Development,Life Sciences,Male,56,Research Scientist,3,Divorced,2451,4609,4,No,13
30,No,Travel_Rarely,1339,Sales,Life Sciences,Female,41,Sales Executive,4,Married,9419,8053,2,No,12
38,No,Travel_Rarely,702,Sales,Life Sciences,Female,59,Sales Executive,4,Single,8686,12930,4,No,12
32,No,Travel_Rarely,120,Research & Development,Life Sciences,Male,43,Research Scientist,3,Single,3038,12430,3,No,8
27,No,Travel_Rarely,1157,Research & Development,Technical Degree,Male,51,Research Scientist,2,Married,3058,13364,0,Yes,6
19,Yes,Travel_Frequently,602,Sales,Technical Degree,Female,100,Sales Representative,1,Single,2325,20989,0,No,1
36,No,Travel_Frequently,1480,Research & Development,Medical,Male,30,Laboratory Technician,2,Single,2088,15062,4,No,13
30,No,Non-Travel,111,Research & Development,Medical,Male,66,Laboratory Technician,1,Divorced,3072,11012,1,No,12
45,No,Travel_Rarely,1268,Sales,Life Sciences,Female,30,Sales Executive,1,Divorced,5006,6319,4,Yes,9
56,No,Travel_Rarely,713,Research & Development,Life Sciences,Female,67,Research Scientist,1,Divorced,4257,13939,4,Yes,19
33,No,Travel_Rarely,134,Research & Development,Life Sciences,Male,90,Research Scientist,4,Single,2500,10515,0,No,4
19,Yes,Travel_Rarely,303,Research & Development,Life Sciences,Male,47,Laboratory Technician,4,Single,1102,9241,1,No,1
46,No,Travel_Rarely,526,Sales,Marketing,Female,92,Sales Executive,1,Divorced,10453,2137,1,No,24
38,No,Travel_Rarely,1380,Research & Development,Life Sciences,Female,75,Laboratory Technician,4,Single,2288,6319,1,No,2
31,No,Travel_Rarely,140,Research & Development,Medical,Female,95,Research Scientist,4,Married,3929,6984,8,Yes,7
34,No,Travel_Rarely,629,Research & Development,Medical,Female,95,Research Scientist,2,Single,2311,5711,2,No,9
41,Yes,Travel_Rarely,1356,Sales,Marketing,Female,70,Sales Representative,2,Single,3140,21728,1,Yes,4
50,No,Travel_Rarely,328,Research & Development,Medical,Male,86,Laboratory Technician,3,Married,3690,3425,2,No,5
53,No,Travel_Rarely,1084,Research & Development,Medical,Female,57,Manufacturing Director,1,Divorced,4450,26250,1,No,5
33,No,Travel_Rarely,931,Research & Development,Medical,Female,72,Research Scientist,2,Married,2756,4673,1,No,8
40,No,Travel_Rarely,989,Research & Development,Medical,Female,46,Manager,3,Married,19033,6499,1,No,21
55,No,Travel_Rarely,692,Research & Development,Medical,Male,61,Research Director,2,Single,18722,13339,8,No,36
34,No,Travel_Frequently,1069,Research & Development,Life Sciences,Male,45,Manufacturing Director,3,Married,9547,14074,1,No,10
51,No,Travel_Rarely,313,Research & Development,Medical,Female,98,Healthcare Representative,2,Single,13734,7192,3,No,21
52,No,Travel_Rarely,699,Research & Development,Life Sciences,Male,65,Manager,3,Married,19999,5678,0,No,34
27,No,Travel_Rarely,894,Research & Development,Medical,Female,99,Research Scientist,2,Single,2279,11781,1,No,7
35,Yes,Travel_Rarely,556,Research & Development,Life Sciences,Male,50,Manufacturing Director,3,Married,5916,15497,3,Yes,8
43,No,Non-Travel,1344,Research & Development,Medical,Male,37,Research Scientist,4,Divorced,2089,5228,4,No,7
45,No,Non-Travel,1195,Research & Development,Medical,Male,65,Manager,4,Married,16792,20462,9,No,22
37,No,Travel_Rarely,290,Research & Development,Life Sciences,Male,65,Research Scientist,1,Married,3564,22977,1,Yes,8
35,No,Travel_Frequently,138,Research & Development,Medical,Female,37,Laboratory Technician,2,Single,4425,15986,5,No,10
42,No,Non-Travel,926,Research & Development,Medical,Female,36,Manufacturing Director,3,Divorced,5265,16439,2,No,11
38,No,Travel_Rarely,1261,Research & Development,Life Sciences,Male,88,Manufacturing Director,3,Married,6553,7259,9,No,14
38,No,Travel_Rarely,1084,Research & Development,Technical Degree,Male,54,Manufacturing Director,4,Married,6261,4185,3,No,9
27,No,Travel_Frequently,472,Research & Development,Technical Degree,Male,60,Manufacturing Director,1,Married,4298,9679,5,No,6
49,No,Non-Travel,1002,Research & Development,Life Sciences,Male,92,Manufacturing Director,4,Divorced,6804,23793,1,Yes,7
34,No,Travel_Frequently,878,Research & Development,Medical,Male,43,Research Scientist,3,Divorced,3815,5972,1,Yes,5
40,No,Travel_Rarely,905,Research & Development,Medical,Male,99,Laboratory Technician,4,Married,2741,16523,8,Yes,15
38,Yes,Travel_Rarely,1180,Research & Development,Medical,Male,70,Healthcare Representative,1,Married,6673,11354,7,Yes,17
29,Yes,Travel_Rarely,121,Sales,Marketing,Female,35,Sales Executive,4,Married,7639,24525,1,No,10
22,No,Travel_Rarely,1136,Research & Development,Life Sciences,Male,60,Research Scientist,2,Divorced,2328,12392,1,Yes,4
36,No,Travel_Frequently,635,Research & Development,Medical,Female,73,Laboratory Technician,4,Single,2153,7703,1,No,8
40,No,Non-Travel,1151,Research & Development,Life Sciences,Male,63,Healthcare Representative,4,Married,4876,14242,9,No,5
46,No,Travel_Rarely,644,Research & Development,Medical,Male,97,Healthcare Representative,1,Divorced,9396,12368,7,No,17
32,Yes,Travel_Rarely,1045,Sales,Medical,Male,32,Sales Executive,4,Married,10400,25812,1,No,14
30,No,Non-Travel,829,Research & Development,Life Sciences,Male,88,Manufacturing Director,3,Single,8474,20925,1,No,12
27,No,Travel_Frequently,1242,Sales,Life Sciences,Female,90,Sales Executive,3,Single,9981,12916,1,No,7
51,No,Travel_Rarely,1469,Research & Development,Life Sciences,Male,81,Research Director,2,Married,12490,15736,5,No,16
30,Yes,Travel_Rarely,1005,Research & Development,Technical Degree,Female,88,Research Scientist,1,Single,2657,8556,5,Yes,8
41,No,Travel_Rarely,896,Sales,Life Sciences,Female,75,Manager,4,Single,13591,14674,3,Yes,16
30,Yes,Travel_Frequently,334,Sales,Marketing,Female,52,Sales Executive,1,Single,6696,22967,5,No,9
29,Yes,Travel_Rarely,992,Research & Development,Technical Degree,Male,85,Research Scientist,3,Single,2058,19757,0,No,7
45,No,Non-Travel,1052,Sales,Medical,Female,57,Sales Executive,4,Single,8865,16840,6,No,23
54,No,Travel_Rarely,1147,Sales,Marketing,Female,52,Sales Executive,1,Married,5940,17011,2,No,16
36,No,Travel_Rarely,1396,Research & Development,Life Sciences,Male,62,Laboratory Technician,2,Single,5914,9945,8,No,16
33,No,Travel_Rarely,147,Research & Development,Medical,Female,47,Research Scientist,2,Married,2622,13248,6,No,7
37,No,Travel_Frequently,663,Research & Development,Other,Male,47,Research Director,4,Divorced,12185,10056,1,Yes,10
38,No,Travel_Rarely,119,Sales,Life Sciences,Male,76,Sales Executive,3,Divorced,10609,9647,0,No,17
31,No,Non-Travel,979,Research & Development,Medical,Male,90,Manufacturing Director,3,Married,4345,4381,0,No,6
59,No,Travel_Rarely,142,Research & Development,Life Sciences,Male,70,Research Scientist,4,Married,2177,8456,3,No,7
37,No,Travel_Frequently,319,Sales,Marketing,Male,41,Sales Representative,4,Divorced,2793,2539,4,No,13
29,No,Travel_Frequently,1413,Sales,Medical,Female,42,Sales Executive,4,Married,7918,6599,1,No,11
35,No,Travel_Frequently,944,Sales,Marketing,Female,92,Sales Executive,3,Single,8789,9096,1,No,10
29,Yes,Travel_Rarely,896,Research & Development,Medical,Male,86,Research Scientist,4,Single,2389,14961,1,Yes,4
52,No,Travel_Rarely,1323,Research & Development,Life Sciences,Female,89,Laboratory Technician,4,Single,3212,3300,7,No,6
42,No,Travel_Rarely,532,Research & Development,Technical Degree,Male,58,Manager,4,Married,19232,4933,1,No,22
59,No,Travel_Rarely,818,Human Resources,Medical,Male,52,Human Resources,3,Married,2267,25657,8,No,7
50,No,Travel_Rarely,854,Sales,Medical,Female,68,Manager,4,Divorced,19517,24118,3,No,32
33,Yes,Travel_Rarely,813,Research & Development,Medical,Male,58,Laboratory Technician,4,Married,2436,22149,5,Yes,8
43,No,Travel_Rarely,1034,Sales,Marketing,Female,80,Manager,4,Married,16064,7744,5,Yes,22
33,Yes,Travel_Rarely,465,Research & Development,Life Sciences,Female,39,Laboratory Technician,1,Married,2707,21509,7,No,13
52,No,Non-Travel,771,Sales,Life Sciences,Male,79,Manager,3,Single,19068,21030,1,Yes,33
32,No,Travel_Rarely,1401,Sales,Life Sciences,Female,56,Sales Representative,2,Married,3931,20990,2,No,6
32,Yes,Travel_Rarely,515,Research & Development,Life Sciences,Male,62,Laboratory Technician,3,Single,3730,9571,0,Yes,4
39,No,Travel_Rarely,1431,Research & Development,Medical,Female,96,Laboratory Technician,3,Divorced,2232,15417,7,No,7
32,No,Non-Travel,976,Sales,Marketing,Male,100,Sales Executive,4,Married,4465,12069,0,No,4
